Fecha;Chats
05/09/2024;1437
06/09/2024;1734
07/09/2024;1719
08/09/2024;2016
09/09/2024;1361
10/09/2024;1615
11/09/2024;1467
12/09/2024;1473
13/09/2024;1777
14/09/2024;2098
15/09/2024;2098
16/09/2024;1400
17/09/2024;1308
18/09/2024;1340
19/09/2024;1510
20/09/2024;1612
21/09/2024;2021
22/09/2024;2256
23/09/2024;1407
24/09/2024;1356
25/09/2024;1259
26/09/2024;1217
27/09/2024;1685
28/09/2024;1889
29/09/2024;2186
30/09/2024;1759
01/10/2024;1370
02/10/2024;1465
03/10/2024;1347
04/10/2024;1722
05/10/2024;2001
06/10/2024;2128
